gene_name,gene_id,genome
KCNQ1,ENSG00000053918,hg38
TRAPPC3,ENSG00000054116,hg38
THRAP3,ENSG00000054118,hg38
PHPT1,ENSG00000054148,hg38
ENTPD2,ENSG00000054179,hg38
LY75,ENSG00000054219,hg38
ARID4B,ENSG00000054267,hg38
OPN3,ENSG00000054277,hg38
SDCCAG8,ENSG00000054282,hg38
PTPRN,ENSG00000054356,hg38
HHAT,ENSG00000054392,hg38
KIF1B,ENSG00000054523,hg38
FOXC1,ENSG00000054598,hg38
TBC1D22A,ENSG00000054611,hg38
SYNE2,ENSG00000054654,hg38
PLEKHH1,ENSG00000054690,hg38
ATP9A,ENSG00000054793,hg38
SPO11,ENSG00000054796,hg38
CBLN4,ENSG00000054803,hg38
